"","newid","region","fam_type","earncomp","bls_urbn","cutenure","age_ref","sex_ref","marital1","educ_ref","inclass","kids","inc","inc.a","food","house","transport","utili","health","enter"
"468","03081191","3","4","1","1","2",54,"1","1","11","09",0,100887,122142,2946.6668,3872,1468,2496,576,584
"490","02998022","2","9","1","1","1",55,"2","3","13","08",0,65668.6,59616.6,3813.3332,7860,2960,4192,11740.8,800
"541","03059994","3","4","2","1","1",54,"1","1","14","09",0,72573,82000,2773.3332,11604,1600,3756,2560,824
"544","02992562","3","5","1","1","2",62,"2","1","12","08",0,69278.4,66023.4,3882.6668,10037.3332,3292,2792,20598.4,1040
"560","02927343","4","5","2","1","4",41,"1","1","16","09",0,82806.8,94362.8,6586.6668,27472,9872,1600,640,1380
"1008","02949923","1","1","2","1","1",55,"1","1","15","09",0,121787,150284,3380,5249.3332,2362.6668,1940,7786.6672,680
"1011","02948643","2","1","2","1","1",52,"1","1","15","09",0,198273.4,241964.4,4333.3332,7392,836,1520,6208,8876
"1013","03074363","3","1","2","1","1",47,"1","1","13","09",0,100048,113500,4906.6668,5604,1504,2628,2480,3597.3332
"1015","02840274","4","1","2","1","1",31,"1","1","16","09",0,111591.2,132322.2,9808,14244,6521.3332,2744,35264,5076
"1017","02844334","1","1","2","1","2",57,"1","1","12","09",0,106729.6,130083.6,3986.6668,11286.6668,5213.3332,4716,9557.3328,13048
"1018","02998372","3","1","2","1","4",27,"2","1","15","09",0,75185,88005,6933.3332,16045.3332,6473.3332,1528,71488,1424
"1019","02927943","3","1","2","1","4",31,"2","1","13","05",0,20182,20200,2600,4352,2621.3332,448,800,180
"1021","03057663","3","1","2","1","1",63,"1","1","14","08",0,49536.6,57190.6,3640,6516,2920,2928,5472,1288
"1024","02805505","2","1","1","1","4",57,"1","1","15","03",0,13417,12310,1213.3332,4012,2824,220,896,32
"1027","02800145","4","1","2","1","1",51,"1","1","15","09",0,133699.4,164431.4,7626.6668,25128,26390.6668,3572,23360,2000
"1028","02932223","3","1","2","1","1",62,"2","1","13","09",0,131422,158952,6864,25128,6737.3332,5432,11530.6672,2880
"1030","02952793","4","9","1","1","1",60,"1","5","16","08",0,47669,53000,3120,7210.6668,3612,2616,7904,352
"1034","02924203","3","1","1","1","4",27,"1","1","12","03",0,14436,14000,2946.6668,8060,1817.3332,1540,1664,864
"1037","02930503","2","9","1","1","4",46,"2","3","13","07",0,39847.6,44133.6,1906.6668,3456,2504,2576,7040,736
"1043","03060114","2","1","2","1","1",56,"1","1","12","09",0,83774,100939,5200,6908,800,4360,15328,512
"1044","02808895","4","1","2","1","1",45,"1","1","15","09",0,103567.6,121399.6,3254.6668,6520,833.3332,1416,6240,520
"1045","02924533","4","1","2","1","2",56,"1","1","16","08",0,60849,66723,11250.6668,11674.6668,6618.6668,5352,21568,6020
"1047","02867984","3","1","2","1","1",29,"2","1","15","09",0,81728.4,94995.4,4073.3332,4872,2300,1452,5568,156
"1052","02924333","3","1","2","1","1",60,"1","1","15","09",0,74901,88004,8560,6186.6668,5464,5128,20917.3328,2844
"1053","03057782","3","1","2","1","1",27,"1","1","15","08",0,48007.6,51894.6,3986.6668,13134.6668,480,2320,1600,304
"1055","02869834","2","1","2","1","1",52,"1","1","11","09",0,64475.6,73448.6,1265.3332,5705.3332,829.3332,1412,4442.6672,380
"1059","02799695","3","1","2","1","1",52,"2","1","13","09",0,140471,170000,6853.3332,34521.3332,3452,3140,17066.6672,1120
"1060","03069184","2","9","1","1","4",48,"2","2","13","08",0,44310,50000,1900,3908,604,628,3808,92
"1063","03075934","2","1","2","1","4",57,"1","1","16","09",0,82613.6,95181.6,3380,42388,3476,2072,1898.6672,460
"1064","02811805","3","1","2","1","2",56,"2","1","12","05",0,20707,20760,2013.3332,8352,7842.6668,2692,5893.3328,2628
"1065","02872714","3","1","2","1","1",28,"2","1","13","08",0,53165,61000,2513.3332,6572,580,820,2880,1264
"1069","03077962","3","1","2","1","1",54,"1","1","15","09",0,123208.6,153084.6,5806.6668,6292,1616,1372,6144,2596
"1078","02868794","3","1","2","1","2",58,"1","1","14","08",0,56602,62000,2860,3450.6668,626.6668,880,4800,1076
"1080","02997902","1","1","2","1","1",39,"1","1","15","09",0,76887,87406,4160,9696,1600,1172,9600,708
"1082","02875404","3","1","2","1","1",31,"1","1","13","09",0,80252.4,92969.4,6066.6668,3312.6668,964,1540,1760,488
"1085","02990032","1","1","1","1","1",61,"1","1","15","08",0,61489,68852,1282.6668,8336,373.3332,2120,24320,360
"1088","02925043","1","1","2","1","1",55,"1","1","16","06",0,35501.6,37681.6,3813.3332,17705.3332,2000,3436,4544,1960
"1089","02931243","2","1","2","1","1",54,"1","1","15","09",0,85824,102000,8666.6668,18569.3332,2266.6668,3576,8544,632
"1090","02838174","3","1","2","1","1",58,"1","1","13","09",0,77315,87000,6172,6813.3332,4592,1948,30944,480
"1092","03051571","4","1","2","2","2",62,"1","1","15","08",0,52107,54000,4086.6668,5532,3128,1872,29168,1380
"1093","03062353","3","1","2","1","1",33,"1","1","14","09",0,77422,86500,5578.6668,7365.3332,336,2160,9600,904
"1094","03072244","2","1","2","2","2",64,"2","1","12","05",0,29478.4,29478.4,780,1070.6668,252,740,1920,68
"1099","02996092","2","1","2","1","4",37,"1","1","16","09",0,90290.4,104083.4,6053.3332,10520,2874.6668,2680,6560,164
"1106","02877684","2","1","1","1","2",59,"1","1","16","09",0,90867.4,106561.4,3674.6668,3842.6668,1888,1480,32613.3328,520
"1108","03008252","1","1","1","1","2",63,"1","1","15","08",0,51557,57000,2340,4040,4080,2384,4021.3328,320
"1110","03004272","4","9","1","1","4",60,"2","3","12","06",0,31313,32000,2080,3920,1200,480,1280,1144
"1112","02928873","4","1","2","1","2",51,"2","1","13","08",0,47728.4,65088.4,4510.6668,3701.3332,5840,2728,4842.6672,1084
"1117","03004142","2","1","2","1","1",32,"2","1","15","09",0,92751,110000,4160,5785.3332,796,1608,4037.3328,1376
"1118","02992602","4","1","2","1","4",40,"1","1","15","09",0,103717.6,119274.6,9562.6668,11844,3788,1500,28896,624
"1121","03006002","2","9","1","1","1",51,"2","3","12","01",0,5025,4828,1300,5492,2692,1880,6558.4,448
"1122","02870464","4","1","2","1","2",63,"2","1","16","09",0,90067.6,106797.6,3293.3332,3976,736,756,43897.0672,228
"1130","03075913","3","1","1","1","2",58,"2","1","15","09",0,95480,109000,2392,7673.3332,1200,904,7008,604
"1132","03073324","4","1","1","2","4",31,"2","1","13","07",0,43466.6,44986.6,3640,7228,3342.6668,1700,1678.4,920
"1136","02806385","3","1","1","1","1",64,"1","1","13","05",0,21244.4,21655.4,2600,4702.6668,724,900,12160,496
"1137","02837444","3","1","2","1","4",27,"1","1","15","08",0,54882.4,59982.4,3640,11052,8696,1844,12528,140
"1139","02947733","3","1","2","1","2",60,"1","1","15","09",0,186435,250000,3380,5009.3332,6988,2272,2602.6672,1360
"1145","03072471","1","1","1","2","4",58,"2","1","12","07",0,39755,41167,2600,5752,480,2332,1440,1232
"1147","02924683","3","1","2","1","2",60,"2","1","15","09",0,64208.8,70954.8,2773.3332,4100,960,1912,21066.6672,600
"1150","03001632","3","1","2","1","1",50,"2","1","15","09",0,127479.2,156949.2,6413.3332,6142.6668,1596,1352,4160,868
"1155","02793275","3","1","2","1","1",57,"1","1","15","09",0,118279.4,144961.4,8468,21028,9386.6668,3026.6668,8213.3328,1516
"1159","03081013","3","9","1","1","2",41,"2","5","13","06",0,29257,30000,2240,2572,725.3332,880,2000,240
"1160","02997792","4","1","2","1","4",29,"2","1","13","09",0,68334,78000,5730.6668,20634.6668,2984,924,4416,1568
"1168","02802585","2","1","1","1","1",60,"2","1","15","09",0,69254,78141,5546.6668,14389.3332,5360,3680,105856,656
"1175","02874354","3","9","1","1","4",46,"2","4","13","01",0,2540,2200,1733.3332,4152,1580,1032,3152,276
"1176","02807885","4","1","2","1","1",59,"2","1","12","09",0,87569.6,98294.6,2998.6668,61126.6668,3996,12492,2560,644
"1177","02807905","1","1","2","1","1",57,"2","1","12","09",0,77453,89000,2478.6668,3896,2532,2980,3840,1920
"1184","02813925","1","1","2","1","2",54,"1","1","12","09",0,61872.6,70138.6,1040,4348,872,1156,1984,580
"1187","02923563","1","1","2","1","1",45,"1","1","14","09",0,85676,1e+05,2773.3332,11392,4860,3360,10538.6672,720
"1188","03085371","4","1","1","2","1",62,"2","1","12","08",0,51603,53271,1646.6668,3216,800,1192,6080,412
"1189","03045782","4","1","2","1","2",44,"1","1","14","09",0,118485.6,148884.6,6113.3332,39928,5269.3332,2884,8874.6672,3832
"1190","03065103","4","1","2","1","1",40,"2","1","14","09",0,67484,76840,4056,13024,3760,2796,13920,80
"1191","02945893","1","1","2","1","1",58,"1","1","15","08",0,59026.8,62576.8,1733.3332,11993.6668,2960,840,4736,440
"1193","02867574","4","1","2","1","1",56,"2","1","15","05",0,21355,21500,8640,7269.3332,8432,1868,1920,3608
"1194","02948353","1","9","1","1","1",52,"1","4","11","09",0,84836,96000,3120,14088,13012,3884,901.3328,556
"1197","03082142","2","1","2","1","1",50,"2","1","14","09",0,69444.8,80514.8,4680,5800,828,1680,10122.6672,360
"1200","03068572","3","1","2","1","2",43,"1","1","11","08",0,51032,57500,1733.3332,5971.3332,1126.6668,2612,11648,240
"1201","03009852","2","9","1","1","4",38,"1","5","10","04",0,15399.2,16813.2,866.6668,4200,200,1400,480,160
"1202","03003092","3","1","2","1","1",54,"1","1","16","09",0,156513,185000,1560,18029.6668,481.3332,1408,4256,1496
"1205","02876654","4","1","2","1","1",43,"1","1","15","09",0,128431.6,154300.6,3120,4209.3332,1200,928,6720,320
"1206","03084572","1","1","1","1","2",64,"2","1","15","09",0,83686,97401,3693.3332,5588,2545.3332,1112,8318.4,712
"1208","02954523","4","1","2","1","1",38,"2","1","15","09",0,118885.4,137752.4,2253.3332,10489.3332,6160,1200,3840,892
"1212","03062193","4","1","2","1","1",54,"2","1","14","08",0,54009,60000,4477.3332,29028,3796,1192,14400,764
"1215","02923343","2","1","2","1","1",53,"1","1","16","09",0,115781.8,139646.8,5040,20091.3332,1461.3332,3852,3680,4628
"1219","03072301","3","1","2","1","4",40,"2","1","16","09",0,203488,260000,4680,6730.6668,945.3332,1786.6668,8960,256
"1224","02998512","1","1","1","1","2",58,"2","1","15","09",0,137734.8,170262.8,4840,13530.6668,944,4508,31036.8,1440
"1227","03055653","3","1","2","1","4",50,"1","1","14","09",0,70812.6,84433.6,7626.6668,14616,4242.6668,5080,7541.3328,2604
"1232","03048652","2","1","2","1","2",57,"2","1","12","09",0,187537,240000,3320,6465.3332,2844,2052,18112,960
"1234","03007072","1","1","2","1","2",56,"1","1","15","09",0,106490,129034,5633.3332,10525.3332,1333.3332,1844,14096,1832
"1236","02992482","3","1","2","1","2",60,"1","1","15","09",0,82019.2,91908.2,3813.3332,10441.3332,2000,3164,6784,1284
"1238","02836634","4","1","2","1","1",36,"1","1","12","09",0,90209.8,101903.8,6933.3332,13937.3332,11181.3332,3220,17952,2160
"1243","02997852","4","1","2","1","2",58,"1","1","12","08",0,54924,61088,3813.3332,4821.3332,2842.6668,1928,10538.6672,488
"1244","02813425","4","1","2","1","4",34,"2","1","12","08",0,49972,55000,3033.3332,7138.6668,424,816,2880,796
"1245","02929173","3","1","2","1","1",29,"2","1","14","08",0,49021,56000,5200,8010.6668,2960,3344,4992,4456
"1248","03000732","3","1","1","1","2",61,"2","1","14","08",0,60013,63600,1040,2136,480,1176,14638.4,224
"1250","02813605","1","1","2","1","1",55,"1","1","14","09",0,152922,196000,6920,65153.3332,3370.6668,2504,6762.6672,1900
"1251","03069954","4","1","2","1","1",62,"1","1","14","09",0,104981.2,127031.2,2773.3332,12928,10221.3332,1736,49600,5600
"1253","02933033","3","1","2","1","2",64,"1","1","12","06",0,37127.6,39094.6,8666.6668,7974.6668,8540,4144,25504,1400
"1255","02805045","2","1","2","1","1",51,"2","1","14","09",0,128908,164000,2166.6668,4510.6668,1216,1280,16240,1080
"1264","02796085","4","1","2","1","1",51,"1","1","15","09",0,93376,107500,5200,13088,2814.6668,2552,26186.6672,1568
"1267","02845994","3","1","2","1","1",54,"1","1","11","09",0,98589.6,120114.6,5893.3332,19217.3332,3850.6668,1960,36160,5868
"1268","03070451","3","1","2","1","1",47,"2","1","12","09",0,69237.2,76864.2,2686.6668,5402.6668,960,1100,14736,400
"1271","02801765","1","1","2","1","1",63,"1","1","15","09",0,156327,195097,10077.3332,28930.6668,19736,5180,10560,5584
"1272","03001622","4","1","2","1","1",57,"1","1","12","09",0,97760,113000,1993.3332,8364,2174.6668,840,3653.3328,960
"1274","02877864","2","1","2","1","1",45,"1","1","15","09",0,114425.8,131165.8,4368,15242.6668,1110.6668,1904,5136,2432
"1277","03053571","1","9","1","1","2",51,"1","5","11","06",0,33049,35250,1560,1108,857.3332,788,6080,640
"1278","02807245","4","1","2","1","4",31,"2","1","15","09",0,85479,105000,4160,7492,960,1148,1552,508
"1284","02932733","1","1","2","1","4",58,"1","1","15","09",0,66397,75000,10200,13128,6380,576,5696,2992
"1285","02807555","3","1","2","1","1",53,"1","1","13","09",0,83212,97000,4140,6130,43000,1712,7696,1284
"1286","03053883","3","1","2","1","1",56,"1","1","12","06",0,35180,36828,1317.3332,5005.3332,813.3332,2404,15605.3328,512
"1292","02838554","1","1","2","1","1",53,"1","1","13","09",0,100646.8,119985.8,6656,15758.6668,3640,2504,20533.3328,596
"1293","03006262","3","9","1","1","1",63,"2","3","14","03",0,15594.2,14574.2,2080,55666.6668,2001.3332,1540,8174.4,1452
"1294","03088122","2","1","2","1","1",56,"1","1","15","09",0,116672.4,145939.4,2489.3332,3778.6668,1244,1796,5008,360
"1301","03081571","2","1","2","2","4",63,"1","1","16","09",0,83670,93200,1698.6668,3228,1737.3332,1080,528,160
"1305","02927073","3","1","2","1","2",59,"1","1","13","09",0,144496,175000,8320,5613.3332,3840,2360,37120,12800
"1313","02808385","1","9","1","1","4",61,"2","4","10","05",0,30847,27560,6046.6668,2829.3332,5368,669.3332,17484.8,2380
"1320","02991112","2","1","1","1","4",58,"1","1","12","07",0,39307,44000,3813.3332,7456,1110.6668,848,9248,568
"1322","02871894","1","1","2","1","4",61,"1","1","12","09",0,126787,159242,901.3332,6581.3332,4132,1168,9824,480
"1323","03082271","3","1","2","1","1",56,"1","1","12","08",0,46816,50486,1646.6668,1926.6668,2390.6668,1364,2330.6672,260
"1325","02844144","1","1","2","1","2",60,"2","1","12","09",0,94442,113000,5893.3332,2669.3332,1920,1476,19413.3328,928
"1326","03058444","3","9","1","1","4",58,"2","2","13","05",0,25121,23319,2553.3332,7108,2466.6668,1080,9344,1840
"1327","03050244","2","1","1","1","4",62,"1","1","12","05",0,27199,28000,3293.3332,9740,1600,3616,9600,712
"1335","03086002","2","1","2","1","4",52,"1","1","12","09",0,82317,97050,1733.3332,9112,1228,2168,2602.6672,2416
"1337","02991792","4","1","1","1","1",44,"1","1","13","08",0,50599.6,56874.6,5373.3332,8448,3024,2392,9365.3328,2920
"1340","03055251","2","1","2","2","2",53,"1","1","12","09",0,72969.6,80819.6,5070.6668,3152,4720,1900,7125.3328,2348
"1341","02813755","3","1","2","1","1",38,"1","1","15","09",0,207784,244162,6066.6668,11093.3332,3853.3332,1620,3989.3328,664
"1348","03048491","2","1","2","2","2",61,"1","1","12","07",0,46298,49353,3245.3332,4233.3332,640,3100,12800,864
"1349","02800065","1","1","2","1","1",47,"2","1","14","09",0,67612,77680,7626.6668,11289.3332,4132,3316,8944,980
"1350","02868684","4","1","2","1","1",53,"2","1","13","08",0,63446.2,69227.2,2166.6668,6197.3332,848,720,9920,3796
"1351","03004222","4","1","2","1","1",55,"1","1","15","09",0,146589.8,181751.8,2253.3332,12020,2900,1516,9397.3328,1144
"1354","02992302","4","1","2","1","1",59,"2","1","14","09",0,82282,90200,6000,23412,11414.6668,7188,7040,4108
"1358","02932603","3","9","1","1","1",55,"2","3","15","08",0,54154,60000,6714.6668,13446.6668,11184,4160,5120,4664
"1362","03059554","2","1","2","1","1",58,"2","1","12","08",0,53623.2,60118.2,5546.6668,7077.3332,4104,3592,4896,1328
"1363","03069612","2","1","2","1","1",57,"2","1","15","09",0,65298.4,73530.4,1993.3332,7037.3332,968,2272,8650.6672,1480
"1365","02996792","1","1","2","1","1",63,"2","1","14","09",0,66278.2,75979.2,5373.3332,7029.3332,3756,2296,7596.8,1552
"1367","02839984","3","1","2","1","4",57,"1","1","14","09",0,127360,160000,8620,12896,2924,4536,14464,760
"1369","02836864","3","1","2","1","1",63,"1","1","14","07",0,42943,48000,4506.6668,11548,3268,3776,20544,800
"1376","02810925","4","1","2","1","1",57,"2","1","13","09",0,90697.6,108193.6,3813.3332,4342.6668,1600,920,2320,1600
"1390","02947923","4","1","2","1","2",49,"1","1","16","09",0,62115,74000,2961.3332,4664,153.3332,104,2400,1624
"1393","02837934","3","1","2","1","1",31,"1","1","13","08",0,54034,58000,3173.3332,20222.6668,3848,2584,1280,724
"1396","03067474","2","1","2","2","1",51,"2","1","15","09",0,74898,83530,1733.3332,11640,1704,2312,19200,912
"1397","03005872","3","9","1","1","4",55,"1","3","15","08",0,49121,60184,2253.3332,10724,1673.3332,1148,1386.6672,440
"1399","03060561","3","1","2","1","2",48,"2","1","13","09",0,106317,128200,2426.6668,13584,4000,1836,6080,640
"1400","03080942","1","1","2","1","1",48,"1","1","13","09",0,65585,75000,3120,6182.6668,1460,1600,7626.6672,1660
"1402","03067551","3","1","2","1","1",27,"1","1","13","07",0,42390,45003,2600,9216,1280,2100,9386.6672,1176
"1403","03081003","3","1","2","1","2",63,"1","1","15","09",0,96168,116000,866.6668,7286.6668,1148,6420,17392,556
"1404","03001772","4","1","1","1","2",60,"2","1","15","08",0,55510,58699,1300,1908,400,1040,10606.4,1740
"1411","03067814","1","1","2","1","1",52,"1","1","12","09",0,76432.2,90236.2,3640,3452,4432,1272,13866.6672,1424
"1413","02990022","3","1","2","1","2",62,"1","1","13","09",0,99651,120000,14200,5253.3332,5928,3184,22677.3328,824
"1421","02948703","4","1","2","1","4",59,"2","1","15","09",0,139313,176000,2600,8488,5676,900,14213.3328,256
"1422","02930884","3","1","1","1","1",60,"2","1","13","05",0,23942,24330,3466.6668,6890.6668,3800,2120,9746.1328,680
"1423","03088313","2","1","2","1","1",33,"2","1","15","09",0,74311,83001,1906.6668,7377.3332,2968,1680,8320,1512
"1425","02994692","1","1","2","1","2",54,"1","1","12","09",0,101299.2,122414.2,6586.6668,10800,5420,5960,12160,1360
"1430","03085284","3","9","1","1","2",41,"1","5","14","05",0,21799,21459,1906.6668,440,800,268,2718.4,240
"1433","03058093","3","1","2","1","1",62,"2","1","12","08",0,49499,56918,2600,8664,600,3152,15360,220
"1434","03002782","3","1","2","1","2",52,"1","1","14","09",0,97589,112785,572,2502,1676,861.3332,10048,100
"1436","02794635","3","1","1","1","1",60,"2","1","13","08",0,53468,57259,3813.3332,3342.6668,9256,2680,3836.8,880
"1439","02813075","4","1","2","1","1",45,"2","1","12","09",0,87386,1e+05,3293.3332,6588,1160,1840,5253.3328,3896
"1440","02867704","2","1","2","1","2",62,"1","1","13","09",0,87908.8,105722.8,2594.6668,3870.6668,1676,2568,6768,1208
"1443","03058371","3","9","1","2","2",54,"2","3","14","08",0,47919.6,51202.6,2253.3332,7628,2913.3332,3764,18076.8,760
"1445","02923843","2","1","2","1","1",59,"1","1","12","09",0,103198,125000,7626.6668,9104,157104,3532,960,1904
"1448","03011162","2","1","2","1","1",61,"1","1","13","09",0,72291.6,82204.6,4333.3332,6937.3332,1636,1492,8426.6672,784
"1450","02872254","4","1","2","1","4",60,"1","1","12","09",0,63598,72000,2652,5848,2904,832,25594.6672,232
"1454","03046063","3","1","1","1","4",58,"1","1","12","09",0,74876,87000,6453.3332,11756,2444,2924,17888,1548
"1461","02991822","1","1","1","1","2",56,"2","1","15","09",0,102424.2,114648.2,7973.3332,23364,1872,4384,40604.8,5044
"1464","03007942","2","1","2","1","2",31,"2","1","16","09",0,94665,115001,2600,3361.3332,3040,1808,3248,2348
"1465","02844524","2","1","2","1","1",53,"2","1","16","09",0,118535,134550,5672,22265.3332,17088,4928,18000,3348
"1470","02873084","2","9","1","1","2",56,"1","5","16","09",0,76869.8,93513.8,2808,2000,600,1072,2581.3328,2036
"1483","02996582","2","1","2","1","1",60,"2","1","12","09",0,77226.8,91783.8,4626.6668,8485.3332,15278.6668,3712,10560,204
"1486","03066701","2","1","2","1","1",46,"1","1","12","08",0,53123,59551,6240,9376,1992,3640,20629.3328,1080
"1488","03008632","4","1","1","1","4",36,"1","1","16","09",0,75395,90000,2133.3332,5526.6668,1250.6668,1266.6668,14944,64
"1489","02992742","3","1","1","1","1",57,"2","1","15","08",0,52091.2,56128.2,4160,18092,6033.3332,2440,64000,1520
"1491","03049192","3","1","2","1","1",42,"1","1","13","09",0,74186,88000,2045.3332,10901.3332,800,2120,70901.3328,632
"1494","02924093","3","1","2","1","2",62,"2","1","13","09",0,71333,82000,6240,37841.3332,3356,2588,16800,9392
"1495","02872364","4","1","2","1","2",58,"1","1","15","09",0,100040.6,116289.6,5200,8690.6668,3300,1380,6933.3328,200
"1496","02846794","4","1","2","1","1",38,"1","1","12","08",0,61906.4,69070.4,5920,14162.6668,1440,3384,15253.3328,2072
"1498","02845624","3","1","2","1","2",58,"1","1","12","08",0,46907,50600,2080,2168,1380,1808,10000,512
"1499","02837294","3","1","1","2","1",56,"1","1","13","05",0,23138,23484,4333.3332,6190.6668,3160,2668,5120,784
"1500","02993032","3","1","1","1","4",28,"1","1","12","07",0,41079,44814,7706.6668,9496,16814.6668,3896,21568,4768
"1506","02951923","3","9","1","1","2",61,"2","3","10","08",0,48231.4,51228.4,1622.6668,2254.6668,960,1488,5081.0672,544
"1507","03073572","2","1","1","1","1",54,"1","1","16","09",0,115297,125582,1906.6668,10852,326.6668,2132,22862.4,1788
"1511","02807025","4","1","2","1","1",30,"1","1","12","08",0,56543,63000,2946.6668,1848,64206.6668,848,3813.3328,172
"1514","02997582","3","1","2","1","1",48,"1","1","14","09",0,124957.6,144681.6,6341.3332,21062.6668,11884,1600,21456,2176
"1515","02793125","3","1","2","2","2",55,"2","1","12","07",0,46058.6,49327.6,2773.3332,3306.6668,3504,1488,15282.1328,1000
"1516","02811395","4","1","1","1","1",51,"2","1","13","04",0,15639,15300,1040,8004,320,2272,1040,312
"1517","03009532","1","1","1","1","2",60,"2","1","16","08",0,45106.6,50400.6,3584,3889.3332,1800,1700,5436.8,2720
"1518","03077042","2","1","2","1","1",51,"2","1","15","09",0,85211,101000,3026.6668,2724,2504,1104,3952,644
"1519","02797725","2","1","2","1","2",39,"1","1","14","09",0,91711,110000,2946.6668,5237.3332,3276,4256,10400,632
"1521","02989592","4","1","2","1","2",62,"2","1","13","08",0,46454,50556,3466.6668,5612,3064,4292,9792,1048
"1522","03087742","4","9","1","1","1",53,"2","3","15","05",0,26339,27400,1126.6668,2262.6668,504,832,496,372
"1525","02807325","2","1","2","1","1",58,"1","1","15","09",0,63760.4,73327.4,2520,3798.6668,942.6668,1088,7973.3328,560
"1526","03074072","3","1","1","1","2",54,"1","1","12","09",0,72614.6,80837.6,2253.3332,2540,420,1800,4000,280
"1531","02870624","3","1","2","1","2",58,"1","1","15","09",0,96098,112100,2652,2158.6668,1524,1112,17481.0672,1084
"1533","02926653","4","1","2","1","4",36,"2","1","11","09",0,121524,161000,2773.3332,15244,5436,1524,13866.6672,1320
"1534","03066811","4","1","1","2","1",62,"1","1","12","05",0,20000,20000,1040,7184,400,1044,2912,724
"1535","02949853","3","1","1","1","2",63,"1","1","12","08",0,58421,65500,3304,2528,433.3332,820,7550.4,2100
"1536","02925353","3","1","2","1","1",51,"1","1","15","09",0,126015,160000,9533.3332,10848,6008,3604,4096,432
"1544","03081731","2","1","2","2","1",53,"1","1","15","09",0,116129.6,134334.6,2253.3332,9966.6668,1600,2192,1664,1292
"1545","02945443","3","1","2","1","1",59,"1","1","16","09",0,117055,140000,3900,12462.6668,1028,2864,3728,1200
"1551","03061382","3","1","2","1","1",44,"1","1","12","09",0,88272.6,100148.6,5200,10086.6668,3450.6668,2960,7626.6672,2600
"1554","03085322","1","9","1","1","1",58,"2","3","12","05",0,25927.6,26942.6,2340,4589.3332,1896,2208,1760,952
"1557","03068484","3","1","2","1","2",60,"2","1","12","09",0,51999,76877,1022.6668,1188.6668,2333.3332,992,1568,244
"1559","03068493","3","1","1","1","1",64,"1","1","12","08",0,64495.2,68743.2,2513.3332,4528,896,1624,7200,836
"1561","02843944","4","1","2","1","1",64,"1","1","13","09",0,130580,148366,5522.6668,32009.3332,8570.6668,6004,16992,10616
"1562","03074811","3","1","2","1","1",27,"1","1","15","09",0,82500,98000,4333.3332,10741.3332,2536,2000,4400,536
"1563","02804225","1","1","2","1","1",37,"2","1","16","09",0,123338,152154,5321.3332,14562.6668,2064,3096,6933.3328,2460
"1567","03085833","2","9","1","1","2",48,"2","3","14","06",0,31787.6,33537.6,1820,4346.6668,826.6668,1640,4122.6672,240
"1568","02813325","1","1","2","1","4",47,"2","1","15","09",0,106532,130000,433.3332,6112,360,420,4000,344
"1569","03051231","3","1","2","1","1",30,"1","1","15","08",0,48439,52000,3986.6668,16069.3332,1592,2400,23658.6672,2356
"1576","03065472","3","1","2","1","2",62,"1","1","13","09",0,216589,278000,10400,4928,1600,1760,11200,480
"1581","02927953","3","1","1","1","2",64,"1","1","15","09",0,88148,96600,5373.3332,11424,2584,3468,11936,3172
"1584","02878684","2","1","2","1","1",63,"1","1","14","04",0,18397,16800,1906.6668,3597.3332,844,1960,8432,320
"1588","03055462","3","1","2","1","1",49,"1","1","13","09",0,115703,141150,7800,12634.6668,1066.6668,2680,5760,1760
"1590","03062721","2","1","2","2","2",63,"2","1","15","06",0,37597.6,37713.6,4826.6668,11756,2416,1312,7328,396
"1594","02813975","3","1","2","1","2",55,"2","1","15","09",0,108675.8,132776.8,3120,9158.6668,1104,2512,3600,2812
"1598","03008332","2","1","2","1","4",37,"1","1","15","09",0,87585.4,105993.4,2600,6512,1233.3332,1840,5557.3328,1656
"1602","03055904","2","1","2","2","2",60,"2","1","12","08",0,59499,65414,624,2685.3332,304,1012,13760,472
"1606","02845104","3","1","2","1","2",55,"2","1","13","09",0,62360,71638,3640,5732,2124,3400,10624,1544
"1608","03076014","3","1","2","1","1",53,"2","1","15","08",0,57037.8,67344.8,1906.6668,5309.3332,3612,3852,8880,632
"1609","03052644","3","1","2","1","2",54,"2","1","14","09",0,68498.4,81469.4,11960,4469.3332,1456,2104,5738.6672,1208
"1611","02810545","1","1","2","1","2",53,"2","1","12","07",0,39603.2,43443.2,3293.3332,4333.3332,620,2840,6933.3328,320
"1612","02932843","4","1","1","1","1",63,"2","1","13","09",0,84918,94600,2946.6668,15181.3332,5008,3280,74.6672,3514.6668
"1615","02992712","4","1","2","1","1",45,"1","1","13","09",0,63572,74005,6240,10277.3332,1988,3632,61888,3080
"1618","03047033","3","1","2","1","1",56,"1","1","15","09",0,238380.4,313300.4,22320,35210.6668,3116,3956,5664,1524
"1619","02845454","4","1","2","1","4",33,"2","1","14","09",0,86598,102000,9813.3332,17120,3436,2168,9434.6672,4028
"1622","02923193","2","1","2","1","1",56,"1","1","12","08",0,59225,67890,3466.6668,11408,4000,3304,20000,872
"1628","02989132","4","1","2","1","1",63,"1","1","14","09",0,75599,92001,5994.6668,10261.3332,5086.6668,3152,9536,676
"1630","02792825","2","1","2","1","1",60,"1","1","16","09",0,169747.8,211240.8,3626.6668,30618,12506.6668,3780,56000,6944
"1634","02933663","3","1","2","1","2",56,"2","1","14","09",0,127965,161100,3120,16078.6668,1280,2840,29930.6672,940
