"","newid","region","fam_type","earncomp","bls_urbn","cutenure","age_ref","sex_ref","marital1","educ_ref","inclass","kids","inc","inc.a","food","house","transport","utili","health","enter"
"28174","03273682","2","4","2","1","1",42,"2","1","14","09",1,103852,122400,7760,13644,6254.6668,3620,4096,2236
"28178","03345931","3","4","2","1","1",46,"2","1","12","09",1,98516,110300,3193.3332,5522.6668,1052,1676,2080,232
"28197","03089794","2","4","2","1","1",55,"1","1","12","08",1,52383,58000,9280,14608,12144,7164,6400,792
"28210","03331291","3","4","2","1","2",49,"2","1","16","09",1,125073.6,147145.6,16840,10444,15868,5384,55440,1232
"28211","03103184","3","4","2","1","1",40,"1","1","15","09",1,94465,105000,7020,18744,7168,7296,15840,1136
"28216","03212613","2","4","2","1","1",44,"2","1","13","09",1,72508,81756,10306.6668,9330.6668,4552,3544,6944,1456
"28221","03105764","3","4","2","1","1",51,"2","1","13","08",1,60082.2,63702.2,17160,15616,16000,4908,80,2188
"28222","03210853","4","9","1","1","2",47,"1","5","12","09",1,81722,85776,4160,7452,1973.3332,3760,12260.2672,676
"28236","03297822","4","7","1","1","1",38,"2","3","15","09",1,76179,87070,5382.6668,9940,10600,1596,8896,932
"28237","03148104","3","7","1","1","4",42,"2","5","14","05",1,24601,21073,2206.6668,6380,1168,2780,3356.8,872
"28238","03344081","3","6","1","1","4",52,"1","3","16","02",1,11516,7944,3960,11369.3332,4614.6668,1460,4144,2708
"28246","03327811","3","7","1","1","4",27,"2","4","13","08",1,44305,50400,8840,23948,6680,2280,528,1844
"28249","03207683","2","7","1","1","4",28,"2","5","13","07",1,41087.4,44777.4,5893.3332,8528,1468,2160,8736,800
"28253","03272972","3","6","1","1","4",27,"1","5","12","06",1,31283,31410,6413.3332,2800,2040,280,11200,200
"28259","03090694","3","7","1","1","4",33,"2","3","14","05",1,23952,21255,5460,11380,1732,2752,8160,108
"28260","03293732","1","7","1","1","4",35,"2","3","16","09",1,67097,79000,1240,9104,333.3332,1120,3365.3328,1616
"28262","03295942","3","7","1","1","4",27,"2","5","12","04",1,20235,16192,1733.3332,5168,240,464,3189.3328,24
"28266","03346201","4","6","1","2","1",57,"1","3","15","09",1,78507,90000,2220,6029.3332,1560,1428,29760,320
"28267","03189423","4","7","1","1","2",37,"2","2","16","06",1,29270.4,30208.4,4788,39724,4736,2396,12832,2160
"28272","03145734","3","7","1","1","4",33,"2","5","12","05",1,24393,21600,2773.3332,7728,1120,1152,8048,1520
"28274","03332571","3","7","1","1","2",42,"2","3","12","06",1,31363,31000,11568,9064,24748,4060,26880,2648
"28276","03331761","1","6","1","1","1",50,"1","2","15","08",1,57768,65000,7020,16840,4920,3692,6240,2160
"28277","03206933","3","7","1","1","1",40,"2","1","14","08",1,60701,67000,4333.3332,6746.6668,836,2760,4512,1184
"28278","03230363","1","7","1","2","4",47,"2","3","16","09",1,63322,70000,1466.6668,5588,3601.3332,1640,5893.3328,348
"28279","03281372","3","7","1","1","4",42,"2","1","14","07",1,38881,43500,4906.6668,7292,1356,2268,16058.6672,2624
"28280","03336451","1","7","1","1","1",33,"2","1","16","08",1,51336,58000,4506.6668,10125.3332,2300,2520,19413.3328,1040
"28282","03165714","1","6","1","1","1",46,"1","4","11","09",1,76261,90000,1386.6668,7397.3332,4992,2608,640,480
"28283","03231033","1","6","1","1","1",33,"1","4","12","07",1,42791,45700,1733.3332,5354.6668,526.6668,1860,693.3328,552
"28284","03347151","2","7","1","1","1",43,"2","3","16","09",1,74656.2,84193.2,5413.3332,7698.6668,2370.6668,1084,6080,7332
"28285","03273902","1","6","1","1","4",60,"1","1","16","09",1,79494,95000,7760,8080,5600,1960,22400,720
"28290","03148944","2","7","1","1","4",49,"2","3","16","07",1,38717.2,43671.2,6066.6668,19944,1877.3332,1400,25760,3804
"28291","03259642","3","7","1","1","4",28,"2","4","13","06",1,30187,30000,4160,8816,3060,1700,2608,652
"28293","03190873","4","7","1","1","4",41,"2","3","16","09",1,62068.6,75778.6,9620,21224,7180,4092,10912,10736
"28294","03213843","1","6","1","1","1",45,"1","3","15","09",1,92311,105005,6896,17893.3332,2806.6668,5804,16960,920
"28296","03278842","2","7","1","1","4",38,"2","5","13","08",1,48277,55000,5200,8384,2864,1680,2560,2656
"28298","03251452","3","7","1","1","2",32,"2","5","13","04",1,19322,15216,7292,2878,51840,2220,3840,240
"28300","03237053","3","7","1","1","4",41,"2","3","11","05",1,23584.4,20292.4,2166.6668,4092,746.6668,1112,1920,480
"28302","03342501","3","7","1","1","4",35,"2","5","15","06",1,31933,32101,2946.6668,8372,1208,2888,3584,1300
"28303","03195403","3","7","1","1","4",32,"2","5","12","06",1,33625,34192,5200,14588,2684,2160,14160,1444
"28304","03348701","2","7","1","1","2",40,"2","3","13","05",1,24714,25240,766.6668,2746.6668,580,1340,1386.6672,1000
"28315","03251412","1","7","1","1","4",47,"2","5","13","06",1,32595,33500,9360,31088,3708,2956,5232,2000
"28321","03107174","4","6","1","1","4",47,"1","3","16","08",1,55052,65122,8860,15452,3028,840,5120,1540
"28323","03193473","3","7","1","1","4",55,"2","4","13","09",1,76739,94400,12220,30872,3800,5188,38800,2808
"28331","03325631","3","6","1","1","1",47,"1","3","12","09",1,84103,108026,9040,23062,1104,1936,34720,1056
"28333","03297004","2","7","1","1","4",44,"2","5","13","06",1,32657.8,34452.8,3986.6668,5498.6668,2553.3332,948,1678.4,700
"28334","03165854","3","7","1","2","4",31,"2","4","14","08",1,44459,50000,2080,3496,1080,1660,4304,724
